month,GLd_5,GLd_10,GLd_15,GLd_20,GLd_25,GLd_30,GLd_35,GLd_40
July,38.51,35.42,35.53,35.63,35.82,36.05,36.31,36.84
August,52.61,49.79,50.00,50.24,50.44,50.77,51.11,51.58
September,68.65,66.10,66.52,66.88,67.50,68.25,69.09,70.29
October,87.78,81.37,82.08,82.68,83.71,85.02,86.43,88.64
November,100.58,99.12,100.16,101.00,102.55,104.38,106.63,109.78
December,134.66,129.86,131.17,132.20,134.10,136.09,139.14,143.16
January,139.08,141.74,143.35,144.68,147.09,149.82,153.84,158.90
February,124.98,128.72,130.09,131.22,133.30,135.68,139.21,143.73
March,110.54,120.23,121.46,122.51,124.51,126.91,130.30,134.60
April,64.70,78.45,79.41,80.34,82.30,84.75,87.61,91.24
May,52.89,63.49,63.74,63.96,64.43,65.05,65.74,66.87
June,38.66,38.96,39.27,39.51,40.36,41.28,42.32,43.71
